character,frame,time_s,speed_m_s,distance_m,activated
Special Week,0,0.0,3.0,0.0,地固め
Special Week,1,0.0666,4.6393428829028895,0.19980000000000003,
Special Week,2,0.1332,6.278685765805779,0.5087802360013325,
Special Week,3,0.19980000000000003,7.918028648708669,0.9269407080039944,
Special Week,4,0.2664,9.557371531611558,1.4542814160079798,
Special Week,5,0.333,11.196714414514448,2.09080236001331,
Special Week,6,0.3996,12.836057297417337,2.82645818179432,
Special Week,7,0.4662,14.475400180320227,3.6813352623692257,
Special Week,8,0.5328,16.114743063223116,4.645392025250396,
Special Week,9,0.5994,17.0,5.708634169895772,
Special Week,10,0.666,17.447213595499957,6.840823038015774,
Special Week,11,0.7326,17.488156478402846,7.993434649011778,
Special Week,12,0.7992,17.529099361305736,9.158127486083892,
Special Week,13,0.8658,17.570042244208626,10.316370981126807,
Special Week,14,0.9324,17.610985127111515,11.477103482661505,
Special Week,15,0.999,17.651928010014405,12.649965314667192,
Special Week,16,1.0656,17.692870892917295,13.816274432440345,
Special Week,17,1.1322,17.733813775820185,14.994592991072329,
Special Week,18,1.1988,17.774756658723074,16.1659465533042,
Special Week,19,1.2654,17.815699541625964,17.340049209646363,
Special Week,20,1.332,17.856642424528854,18.52653510060463,
Special Week,21,1.3986,17.897585307431743,19.70615943514216,
Special Week,22,1.4652,17.938528190334633,20.898104492334944,
Special Week,23,1.5318,17.979471073237523,22.082855551212333,
Special Week,24,1.5984,18.020413956140413,23.270201800134416,
Special Week,25,1.665,18.061356839043302,24.470322687107174,
Special Week,26,1.7316,18.102299721946192,25.66308244327755,
Special Week,27,1.7982,18.143242604849082,26.86866157511602,
Special Week,28,1.8648,18.18418548775197,28.066990528754214,
Special Week,29,1.9314,18.22512837065486,29.267422555215223,
Special Week,30,1.998,18.26607125355775,30.481188161154193,
Special Week,31,2.0646,18.30701413646064,31.687530504640915,
Special Week,32,2.1312,18.34795701936353,32.9067494212284,
Special Week,33,2.1978000000000004,18.38889990226642,34.118041490398795,
